Urdu,English
Hissa,part
Tarikh,history
Talash karein,search
Sirf,only
Socha,thought
Madad,help
Darkhwast,request
Qisam,kind
Mahina,month
Bhai,brother
Chhod do,let
Kyun ke,because
Rakhein,to put
Koi nahi,no
Phelaao,leash
Unhein,them
Shehar,city
Har,each
Bola,speak
Aaya,come
Chahiye,should
Bohot lamba,long time
Ke doran,while
Mulaqat,meet again
Koi bhi,any
Muqam,square
Boli,speak
Samjha,understood
Janta tha,knew
The,were
Intehaai,Warning
Yehan hai,here is
Kar sakta hai,could
Qisam,type
Un ke,their
Diya,given
Train,train
Jism,body
Jaga,place
Aankhen,eyes
Tareeqa,way
Jiska,whose
Mila hai,find
Pehla,first
Haara,lost
Pehla,first
Taraf,side
Quwat,power
Purana,old
Ho,be
Subah,morning
Bohot zyada,so much
Nukta,point
Is ke baad,after
Aayen,come
Samne,in front of
Ki taraf,towards
Darkhwast,request
Bedroom,bedroom
Rakh dia,placed
Chahta hoon,would like to
Shohar,husband
Wajah,cause
Aakhir kar,finally
Umeed hai,hope
Naya,new
Rukain,Stop
Kahe ga,would say
Zameen,Earth
Hisab,account
Diya,given
Door,far
Yaqeen hai,believe
Pyari,sweetheart
Bara,large
Balkay,rather
Ho ga,will have
Larkiyan,girls
Khelo,to play
Daftar,office
